title,author,fandoms,category,relationships,characters,freeforms,rating,warnings,date,words,chapters,comments,kudos,bookmarks,hits,link
"It was a trap I fell into","suju","TOMORROW X TOGETHER | TXT (Korea Band)","M/M","Choi Soobin/Choi Yeonjun, Choi Beomgyu/Kang Taehyun","Jung Wooyoung (ATEEZ), Seo Changbin, Choi San (ATEEZ), Choi Yeonjun, Choi Soobin, Choi Beomgyu, Huening Kai, Kang Taehyun","Minor Choi San/Jung Wooyoung (ATEEZ), Minor Lee Felix/Seo Changbin, Name Dropping BTS, Friends to Lovers, Mutual Pining, Hurt/Comfort, Minor Angst, Canon Compliant, -Ish, (heavily based off the scriptures), Fluff, Idiots in Love, Texting, Jealousy, Wingman Alliance, Extensive Fancam Lore, 1 braincell in TXT and it belongs to Taehyun, Star Gazing (of the lgbtq+ variety), Eye Contact, Self-Discovery, Feelings Realization, Falling In Love, Denial of Feelings, Introspection, Empath Choi Yeonjun, Crack Treated Seriously, Kai chooses bros before hoes like a real one, Polaroid Love Slander (/j), Menaces Wooyoung and Changbin, Neck Kissing, interruptions, a lot of them (my bad), Making Out, Eventual Smut, attempted comedy, Ramyeon is a paid actor","Explicit","No Archive Warnings Apply","16 May 2023","37,725","=""4/15""","73","195","43","2622","http://ao3.org/works/46667890"
"Chosen One, Adrift with Legendaries","Kinrah","Pocket Monsters | Pokemon - All Media Types, Pocket Monsters | Pokemon (Anime)","Gen","","Satoshi | Ash Ketchum, Kasumi | Misty, Kenji | Tracey Sketchit, Mew (Pokemon), Freezer | Articuno, Thunder | Zapdos, Fire | Moltres, Lugia (Pokemon), Satoshi no Pikachu | Ash Ketchum's Pikachu, Marshadow (Pokemon), Kyogre (Pokemon), Shaymin (Pokemon), Densetsu no Pokemon | Legendary Pokemon","Chatting & Messaging, Chatlogs, Alternate Universe - Canon Divergence, Anime Plotline but screwed around with, Non-Canon Pokemon, Integrating movies and bits of the games too","Teen And Up Audiences","No Archive Warnings Apply","16 May 2023","136,659","=""52/?""","1534","1980","288","144124","http://ao3.org/works/36659020"
"Tiptoe Through the True Bits","sunrue","Harry Potter - J. K. Rowling, Marauders - Fandom","F/F, F/M, M/M","Sirius Black/Remus Lupin, James Potter/Lily Evans Potter, Marlene McKinnon/Dorcas Meadowes, Mary Macdonald/Emmeline Vance, Alice Longbottom/Frank Longbottom, Sirius Black & James Potter, Sirius Black & Remus Lupin & Peter Pettigrew & James Potter, Sirius Black & Alice Longbottom & MarleneMcKinnon, Remus Lupin & Lily Evans Potter, Sirius Black & Lily Evans Potter, Mary Macdonald & James Potter, Regulus Black & Sirius Black","Sirius Black, Remus Lupin, James Potter, Lily Evans Potter, Peter Pettigrew, Marlene McKinnon, Emmeline Vance, Alice Longbottom, Mary Macdonald (Harry Potter), Dorcas Meadowes, Regulus Black","Texting, Fluff and Crack, Alternate Universe - Modern Setting, Alternate Universe - College/University, Drinking, Smoking, Everyone Is Gay, Hurt/Comfort, Happy Ending, Best Friends, wolfstar, Falling In Love, Angst, Humor, Explicit Language, French Sirius Black, Desi James Potter","General Audiences","No Archive Warnings Apply","16 May 2023","36,759","=""16/?""","28","60","7","1251","http://ao3.org/works/46424941"
"Minecraft is a surprise tool that will help us later","Neon_skittles","Kingdom Hearts (Video Games), Minecraft (Video Game)","Gen","Everyone & Everyone","Riku (Kingdom Hearts), Kairi (Kingdom Hearts), Axel (Kingdom Hearts), Roxas (Kingdom Hearts), Xion (Kingdom Hearts), Terra (Kingdom Hearts), Aqua (Kingdom Hearts), Ventus (Kingdom Hearts), Vanitas (Kingdom Hearts), Sora (Kingdom Hearts), Naminé (Kingdom Hearts), Hayner (Kingdom Hearts), Pence (Kingdom Hearts), Olette (Kingdom Hearts)","Post-Kingdom Hearts III, Angst with a Happy Ending, chatfic, Alternate Universe - Canon Divergence, The canon divergence is Sora and Vanitas aren't dead, Using a weird blend of pre-Union cross finale lore and post-Union cross finale lore, Minecraft Mechanics, Attempt at Humor, Yen sid bashing probably, Destiny trio is sick and tired of getting separated so they're building a house together, Seasalt trio finally get to go to the beach like they deserve, Wayfinder trio gets good things in life, Vanitas Redemption (Kingdom Hearts)","Teen And Up Audiences","No Archive Warnings Apply","16 May 2023","10,541","=""15/?""","53","50","3","1179","http://ao3.org/works/45445426"
"Townville's Very Own Group Chat.","WitchyPrincesa","Powerpuff Girls","F/M","Brick/Blossom Utonium, Butch/Buttercup Utonium, Boomer/Bubbles Utonium","Brick (PPG), Blossom Utonium, Butch (PPG), Buttercup Utonium, Bubbles Utonium, Boomer (PPG), Professor Utonium, Mojo Jojo, HIM (PPG), Ms. Keane (PPG), Background & Cameo Characters","chatfic, Texting, Chatting & Messaging, Alternate Universe - Normal High School, Explicit Language, Homophobic Language, Internalized Misogyny, buttercup is BI in this story, Coming of Age, Alternate Universe - No Powers, Group chat, a bit OOC, video game references, warning: cringe, References to Depression","Mature","No Archive Warnings Apply","16 May 2023","1,451","=""2/?""","","4","","46","http://ao3.org/works/47186989"
"The Blue Lock Org","novaztar","Blue Lock (Manga), Blue Lock (Anime)","M/M","Mikage Reo/Nagi Seishirou, Itoshi Sae/Shidou Ryuusei, Bachira Meguru/Isagi Yoichi, Minor or Background Relationship(s), Hiori You/Karasu Tabito, Itoshi Rin/Nanase Nijirou","Mikage Reo, Nagi Seishirou, Isagi Yoichi, Itoshi Sae, Itoshi Rin, Bachira Meguru, Chigiri Hyouma, Kunigami Rensuke, Yukimiya Kenyuu, Otoya Eita, Karasu Tabito, Hiori You, Niko Ikki, Oliver Aiku, Shidou Ryuusei, Sendou Shuuto, Nanase Nijiro, Kurona Ranze, Michael Kaiser, Ego Jinpachi, Alexis Ness","Alternate Universe - Twitch Streamers, Chatting & Messaging, How Do I Tag, Rin and Shidou are best friends, Rin has a small crush on his brothers love interest, small drama, Attempt at Humor, Crack Treated Seriously, I lied about the small drama there's a lot, Isagi is the goat but at what cost, There's a boxing match, R slur is thrown in here, im autistic, Rin is sort of the main character","Teen And Up Audiences","No Archive Warnings Apply","16 May 2023","36,780","=""30/40""","106","423","38","9632","http://ao3.org/works/45440383"
"the fine line between secrecy and chaos","amidsthechaos, intheclowncar","Stray Kids (Band)","Gen, M/M","Bang Chan/Lee Minho | Lee Know, Hwang Hyunjin/Seo Changbin, Han Jisung | Han/Lee Felix","Bang Chan (Stray Kids), Lee Minho | Lee Know, Seo Changbin, Hwang Hyunjin, Han Jisung | Han, Lee Felix (Stray Kids), Kim Seungmin (Stray Kids), Yang Jeongin | I.N","Alternate Universe - College/University, Texting, Chatting & Messaging, there is a group chat and it all goes downhill from there, Secret Relationship, Idiots in Love, Soft Bang Chan (Stray Kids), Bang Chan is Whipped (Stray Kids), Lee Minho | Lee Know is a Little Shit, also emotionally constipated, Han Jisung | Han is a Little Shit, tweets, Social Media, someone save Seungmin, Humor, Crack Treated Seriously, we waved sanity goodbye and watched it drown in a lake, crazy thoughts but thoughts nonetheless, Implied Sexual Content, Sex Talk, Established Relationship","Mature","No Archive Warnings Apply","16 May 2023","11,708","=""10/?""","81","290","36","4155","http://ao3.org/works/46247146"
"Case Study 2: Rhodonite","AliceinHyruleBastion","Twisted-Wonderland (Video Game)","M/M","Deuce Spade/Ace Trappola, Floyd Leech/Riddle Rosehearts (Background), Riddle Rosehearts & Ace Trappola, Kalim Al-Asim & Silver, Malleus Draconia/Yuu | Player (this was supposed to be a joke I dunno what happened), Kalim Al-Asim/Jamil Viper (very minor), other background ships","","character/relationship study, atypical soulmate au (soul-marks/tattoos & empathy link), telepathy!, Nightmares, body horror & unreality & gore & cannibalism & murder & major character death ONLY WITHIN THE DREAMS, Panic Attacks, Hurt/Comfort, So much comfort, Slow Burn, PAINFULLY slow buckle up, Crude Humor, Swearing, because me and teenage boys, (I can't believe i'm adding this tag), Accidental Voyeurism, it's not major it's for comedy, Internalized Homophobia, because it's ace, ace if you stopped lurking in doorways you wouldnt be in half the messes youre in, Texting, wow these tags make it look like this fic isn't 90 percent comedy and stupid memes, (another tag I can't believe I'm adding), Implied Sexual Content, but it's background and minor and not adeuce","Mature","Graphic Depictions Of Violence","16 May 2023","110,994","=""4/4""","37","83","11","1217","http://ao3.org/works/46587193"
"PS: Please Look After The Cat...","Kerenissa_the_Tyke","ジョジョの奇妙な冒険 | JoJo no Kimyou na Bouken | JoJo's Bizarre Adventure","Gen","Formaggio & Formaggio's Cat (JoJo), Formaggio (JoJo) & Original Character(s), Risotto Nero & Original Character(s), Formaggio & Risotto Nero, Original Character(s) & Original Character(s)","Formaggio (JoJo), Formaggio's Cat (JoJo), Risotto Nero, Original Characters, La Squadra di Esecuzione Members (JoJo) (implied), some other unnamed cats (mostly later), Illuso (JoJo), Little Feet (JoJo), Man in the Mirror (JoJo), Black Sabbath (JoJo), Polpo (JoJo) (mention), Variant Stand (V's), Scary Monsters (JoJo), Pericolo (JoJo) (mentioned), Sheila E (Jojo) (Mentioned), (yes that's the ankle-biting motormouth), Passione Members (JoJo) (mentioned), Unità Speciale Members (JoJo) (mentioned), A Cameo in the Epilogue which makes it more obvious other stuff has happened..., Leone Abbacchio","Pre-JoJo's Bizarre Adventure Part 5: Vento Aureo, JoJo's Bizarre Adventure Part 5: Vento Aureo, Implied Stand Use, The implications of a kitten mill, Snakes doing what snakes do (omnomnom), Canon-Typical Violence, Child Neglect, Stands (JoJo), Adventures in Petsitting, This assumes no-one knows where their hideout is, Blood and Injury, Accidents, Hiding Medical Issues, Allergies, Very Secret Diary, Picture Reference in Ch17, Texting, Martial Arts, Implied/Referenced Drug Use, Lions, Catholic Guilt, Alternate Universe - Canon Divergence, suicide ideation, But only if terminal, Peer Pressure, Moral Ambiguity, Somebody Lives/Not Everyone Dies, Minor Character Death, No Sex, (because that wouldn't be right for V), Flashbacks, Ambiguous/Open Ending","Mature","No Archive Warnings Apply","16 May 2023","49,809","=""32/32""","15","70","10","1183","http://ao3.org/works/35102245"
"where were you all my life Waverly ?","Withat","Wynonna Earp (TV)","F/F","Waverly Earp/Nicole Haught","Waverly Earp, Nicole Haught, Chrissy Nedley, Wynonna Earp, Rosita Bustillos, Xavier Dolls","this is smut, G!P, Nicole Haught Has a Penis, Bisexual Waverly Earp, Smut, Fluff and Smut, Cuddling & Snuggling, Sex, Dirty Talk, Funny, Cute, Hearteyes, Masturbation, Sexting, cute af, This is a love story, but there's smut in every chapter, You're Welcome, Lesbian Nicole Haught, Drunk Nicole Haught, Blow Jobs, Anal Sex, Vaginal Fingering, Hand Jobs, Handcuffs, Semi-Public Sex, Oral Sex, drugs (2 chapters only)","Explicit","No Archive Warnings Apply, Creator Chose Not To Use Archive Warnings","16 May 2023","66,680","=""15/?""","184","1236","116","62681","http://ao3.org/works/26013445"
