Standard Approx Date,WBM,TAZ,Vocaloid,Homestuck,WBM,Hamilton,Date,Dan & Phil,Phandom,Wrestling,Rooster Teeth,Youtube RPF,WTNV,Les Mis,Date,Hermitcraft,DSMP
=$'Dates Ref'.A81,01/01/21,"9,814",,"54,457",,,,,"18,695","14,719","15,650","88,285","7,238",,,"2,637",
=$'Dates Ref'.A82,04/01/21,"10,005",,"55,110",,,,,"18,668","15,111","15,119","109,237","7,288",,,"3,244",
=$'Dates Ref'.A83,07/01/21,"10,146",,"56,196",,,,,"18,687","15,389","14,928","130,832","7,368",,,"3,851",
=$'Dates Ref'.A84,10/01/21,"10,286",,"56,880",,,,,"18,693","15,864","14,862","149,028","7,423",,,"4,524",
=$'Dates Ref'.A85,01/01/22,"10,417",,"57,357",,,,,"18,628","16,334","14,840","166,310","7,478",,,"5,864",
=$'Dates Ref'.A86,04/01/22,"10,529",,"57,914",,,,,"18,517","16,646","14,772","180,480","7,534",,,"7,183",
=$'Dates Ref'.A87,07/01/22,"10,610",,"58,516",,,,,"18,443","17,161","14,681","196,621","7,604",,,"8,485","43,845"
=$'Dates Ref'.A88,08/02/22,"10,644",,"58,722",,,,,"18,326","17,315","14,639","201,855","7,638",,,"9,104","48,148"
=$'Dates Ref'.A89,09/20/22,"10,707",,"59,188",,,,,"18,202","17,616","14,616","210,266","7,679",,,"10,264","53,535"
=$'Dates Ref'.A90,10/23/22,"10,728",,"59,400",,,,,"18,230","17,906","14,514","213,144","7,697",,,"11,107","59,990"
=$'Dates Ref'.A91,01/01/23,"10,453",,"58,571",,,,,"18,204","17,913","14,315","218,293","7,364",,,"12,217","64,765"
=$'Dates Ref'.A92,03/03/23,"10,551",,"59,281",,,,,"18,146","18,367","14,307","225,803","7,488",,,"13,300","68,707"
=$'Dates Ref'.A93,04/03/23,"10,587",,"59,605",,,,,"18,127","18,619","14,305","230,125","7,541",,,"13,896","70,626"
=$'Dates Ref'.A94,06/30/23,"11,265",,"62,583",06/30/23,"20,518",06/30/23,,"19,014","22,039","15,275","253,679","8,183",,06/30/23,"16,057","77,279"
=$'Dates Ref'.A95,,,,,,,,,,,,,,,,,
=$'Dates Ref'.A96,,,,,,,,,,,,,,,,,
=$'Dates Ref'.A97,,,,,,,,,,,,,,,,,
=$'Dates Ref'.A98,,,,,,,,,,,,,,,,,
=$'Dates Ref'.A99,,,,,,,,,,,,,,,,,
=$'Dates Ref'.A100,,,,,,,,,,,,,,,,,
