TV AO3;SPN;Dr. Who;Sherlock;Star Trek;Glee;OuaT;Buffy;Merlin;Stargate;Teen Wolf;TWD;X-Files;;Total
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
Apr 6, 16;129,909;46,776;82,355;33,074;28,283;25,447;21,903;24,473;35,789;72,534;9,126;5,379;;515,048
Jul 8, 16;137,063;48,594;84,751;34,221;28,894;27,402;22,542;25,112;36,578;74,891;9,971;5,795;;535,814
Sep 24, 16;142,935;50,159;86,735;36,581;29,323;28,804;23,049;25,778;37,202;76,881;10,509;6,059;;554,015
Jan 11, 17;151,072;52,020;90,007;40,686;30,166;30,977;23,665;26,493;38,032;79,761;12,035;6,665;;581,579
Apr 3, 17;157,723;53,406;93,923;42,253;30,582;32,379;24,184;27,212;38,020;81,981;12,969;7,165;;601,797
Jul 5, 17;164,092;55,368;96,518;44,278;30,907;33,780;24,759;27,900;39,640;83,324;13,783;7,549;;621,898
Oct 10, 17;168,427;57,325;98,775;46,507;31,402;35,221;25,262;28,706;40,263;86,347;14,417;8,030;;640,682
Jan 10, 18;174,895;58,948;100,823;48,565;32,006;36,402;25,723;29,429;42,029;89,243;15,214;8,536;;661,813
Apr 2, 18;179,248;60,248;102,834;50,450;32,336;37,971;26,196;30,038;42,725;91,629;15,797;11,997;;681,469
Jul 17, 18;186,478;61,495;105,084;52,417;32,566;39,209;26,773;30,764;43,410;94,214;16,473;12,604;;701,487
Oct 7, 18;188,916;62,507;106,538;53,786;32,813;40,536;27,315;31,235;43,933;96,289;16,836;14,001;;714,705
Oct 30, 18;190,341;62,942;107,133;54,337;32,875;40,786;27,382;31,381;44,066;97,033;16,961;14,156;;719,393
Jan 5, 19;196,738;65,036;108,670;55,836;33,105;41,639;27,703;32,018;44,605;99,110;17,463;14,608;;736,531
Apr 4, 19;202,070;66,559;110,003;57,540;33,380;42,399;28,118;32,808;45,326;100,852;17,962;15,022;;752,039
Jul 1, 19;206,496;67,637;111,035;59,067;33,573;43,132;28,504;33,558;45,896;102,179;18,265;15,378;;764,720
Oct 3, 19;209,849;69,215;112,185;60,951;34,009;44,107;28,931;34,474;46,488;103,733;18,628;15,774;;778,344
Jan 1, 20;214,523;70,715;113,146;63,094;34,460;44,730;29,257;35,336;47,027;105,276;18,992;16,228;;792,784
Apr 1, 20;213,204;72,346;112,830;64,435;34,747;44,467;29,702;35,942;47,204;105,876;19,502;16,544;;796,799
Jul 1, 20;217,635;75,331;114,465;66,856;35,679;45,100;30,124;37,535;47,923;107,896;19,815;16,940;;815,299
Oct 1, 20;221,325;77,466;115,868;69,390;36,852;46,085;30,356;39,461;48,684;110,063;20,190;17,359;;833,099
Jan 1, 21;230,155;79,769;117,446;72,453;37,778;46,836;30,960;41,434;49,508;112,350;20,553;18,197;;857,439
Apr 1, 21;235,459;81,867;118,925;75,048;38,671;47,833;31,556;42,883;50,093;114,364;20,748;18,639;;876,086
Jul 1, 21;240,351;83,486;119,805;76,977;39,305;48,589;32,020;44,451;50,761;115,823;21,218;19,208;;891,994
Oct 1, 21;244,861;85,072;120,846;79,558;39,883;50,092;32,876;46,076;51,642;118,015;21,566;19,645;;910,132
Jan 1, 22;249,419;87,060;121,997;82,898;40,501;50,777;34,517;47,993;52,634;120,241;22,097;20,232;;930,366
Mar 31, 22;252,281;89,553;123,057;84,977;40,821;51,370;35,436;49,496;53,259;122,253;22,562;20,740;;945,805
Jul 4, 22;255,617;91,344;123,835;87,751;41,071;51,796;35,930;50,334;53,820;123,718;22,937;21,194;;959,347
Aug 2, 22;256,409;91,959;124,088;88,554;41,249;51,964;36,136;50,883;54,004;124,165;24,521;21,369;;965,301
Sep 21, 22;258,078;92,770;124,398;90,061;41,504;52,389;36,385;51,847;54,453;124,914;24,773;21,664;;973,236
Oct 21, 22;259,639;93,379;124,662;91,218;41,619;52,600;36,568;52,337;54,737;125,531;24,720;22,062;;979,072
Jan 5, 23;253,816;92,737;120,789;90,502;41,229;52,059;36,121;52,011;54,091;122,466;24,795;21,978;;962,594
