Animanga FFN;Sailor Moon;Inuyasha;CCS;Bleach;Tennis;Naruto;Fruba;FMA;Soul Eater;Fairy Tail;Hetalia;Exorcist;Madoka;RWBY;JJBA;SnK;HQ;BnHA;YoI;SxF;;Total
Apr 29, 99;7;;0;;0;;;;;;;;;;;;;;;;;7
May 10, 00;727;;0;;0;;;;;;;;;;;;;;;;;727
Oct 29, 00;3,000;;534;;0;;;;;;;;;;;;;;;;;3,534
Apr 11, 01;3,469;;1,298;;0;;;;;;;;;;;;;;;;;4,767
Jul 3, 01;5,378;;2,168;;0;;;;;;;;;;;;;;;;;7,546
Sep 8, 01;6,578;;3,075;;0;;;;;;;;;;;;;;;;;9,653
Dec 12, 01;7,916;;4,277;;0;;12;0;;;;;;;;;;;;;;12,205
Jan 25, 02;8,741;;5,235;;0;0;39;0;;;;;;;;;;;;;;14,015
Apr 5, 02;10,120;;6,342;;0;5;77;;;;;;;;;;;;;;;16,544
Jun 2, 02;10,965;;7,124;;0;17;126;0;0;;;;;;;;;;;;;18,232
;;;;;;;;;;;;;;;;;;;;;;49,490
;;;;;;;;;;;;;;;;;;;;;;54,192
Dec 7, 02;12,981;;9,122;;0;52;295;;;;;;;;;;;;;;;22,450
;;;;;;;;;;;;;;;;;;;;;;167,639
;;;;;;;;;;;;;;;;;;;;;;288,680
Jun 3, 03;14,984;;11,160;;90;245;781;0;0;;;;;;;;;;;;;27,260
Apr 4, 04;17,586;;14,079;;748;2,847;1,834;78;0;;;;;;;;;;;;;37,172
Jun 10, 04;18,051;;14,652;;1,010;4,030;2,218;179;0;;;;;;;;;;;;;40,140
;;;;;;;;;;;;;;;;;;;;;;413,444
Oct 12, 04;18,631;;15,428;;1,350;6,479;2,964;454;0;;;;;;;;;;;;;45,306
Dec 11, 04;18,891;;15,859;;1,638;7,777;3,372;704;0;;;;;;;;;;;;;48,241
Jan 1, 05;18,987;;15,981;;1,789;8,344;3,560;829;0;;;;;;;;;;;;;49,490
Apr 1, 05;19,541;;15,533;;2,212;10,769;4,435;1,702;0;;;;;;;;;;;;;54,192
Oct 13, 06;22,728;;18,873;;5,143;48,520;10,514;13,930;0;;;;;;;;;;;;;119,708
Jun 30, 07;24,435;;20,105;;7,488;84,824;12,311;18,476;0;;;;;;;;;;;;;167,639
Oct 11, 07;25,175;;20,490;;8,938;102,305;12,889;20,001;0;;;;;;;;;;;;;189,798
Feb 24, 09;28,607;;22,346;;14,145;182,199;14,677;25,695;649;151;211;;;;;;;;;;;288,680
Oct 27, 09;30,695;;23,151;;16,032;212,682;15,318;28,703;1,612;293;3,903;;;;;;;;;;;332,389
;;;;;;;;;;;;;;;;;;;;;;
Mar 29, 10;31,734;;23,536;;17,229;230,682;15,675;30,775;2,323;447;8,866;;;;;;;;;;;361,267
Jun 12, 10;32,170;;23,725;;17,699;238,886;15,798;31,912;2,818;566;12,058;;;;;;;;;;;375,632
;;;;;;;;;;;;;;;;;;;;;;610,105
;;;;;;;;;;;;;;;;;;;;;;633,310
Dec 22, 10;33,245;;24,128;;18,733;258,822;16,134;34,557;4,488;1,120;22,217;;;;;;;;;;;413,444
Jun 23, 11;34,236;;24,433;;19,738;276,530;16,495;36,837;6,431;2,215;34,826;138;187;;;;;;;;;452,066
Aug 12, 11;34,488;;24,521;;19,971;281,552;16,629;37,370;7,134;2,599;38,994;316;228;;;;;;;;;463,802
;;;;;;;;;;;;;;;;;;;;;;699,133
Oct 11, 11;34,842;;24,636;;20,128;286,898;16,753;38,028;7,846;3,105;43,204;515;275;;;;;;;;;476,230
Jan 18, 12;35,343;;24,831;;20,437;294,553;16,941;38,993;8,792;4,147;50,864;708;376;;;;;;;;;495,985
May 5, 12;35,921;;25,038;;20,869;303,258;17,147;39,924;10,012;5,789;59,704;915;471;;;;;;;;;519,048
May 23, 12;35,995;;25,079;;20,870;304,623;17,171;40,061;10,202;6,122;61,222;944;494;;;;;;;;;522,783
;;;;;;;;;;;;;;;;;;;;;;767,130
;;;;;;;;;;;;;;;;;;;;;;776,943
;;;;;;;;;;;;;;;;;;;;;;785,684
Jan 10, 13;37,111;;25,895;;21,651;320,472;17,425;41,831;13,078;11,981;77,941;1,383;700;;;;;;;;;569,468
Apr 4, 13;37,531;;25,611;;21,960;327,981;17,545;42,496;14,176;15,157;83,883;1,542;820;;;2;;;;;;588,704
Jul 3, 13;37,930;;25,786;;22,276;336,446;17,683;43,168;15,526;18,730;89,546;1,714;933;;;360;7;;;;;610,105
Oct 10, 13;38,400;;25,900;;22,600;345,000;17,900;43,800;16,700;22,200;94,100;1,900;1,100;;;3,700;10;;;;;633,310
Nov 28, 13;38,700;;26,000;;22,600;348,000;17,900;44,000;17,000;23,700;95,900;2,000;1,100;;;5,500;10;;;;;642,410
Jan 22, 14;38,900;;26,000;;22,800;352,000;18,000;44,400;17,500;25,600;98,200;2,000;1,200;;;7,100;17;;;;;653,717
Apr 7, 14;39,400;;26,000;;23,000;357,000;18,000;44,800;18,100;28,300;101,000;2,200;1,400;;;9,100;32;;;;;668,332
Jul 3, 14;39,600;;26,100;;23,200;363,000;18,100;45,200;18,700;31,800;104,000;2,400;1,500;;;11,200;274;;;;;685,074
Oct 4, 14;40,100;;26,100;;23,200;368,000;18,000;45,400;19,100;35,400;106,000;2,600;1,600;;;12,900;733;;;;;699,133
