Games WP;LoZ;Sonic;Pokemon;Final Fantasy;Kingdom Hearts;Persona;Fire Emblem;League of Legends;Dragon Age;Minecraft;Dangan Ronpa;Five Nights at Freddy’s;Undertale;Mystic Messenger;Overwatch;Genshin Impact;HI3;#honkai;HSR;Honkai (Total)
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Dec 21, 09;;;;;;;;;;;;;;;;;;;;
Mar 29, 10;;;;;;;;;;;;;;;;;;;;
Jun 13, 10;;;;;;;;;;;;;;;;;;;;
Sep 22, 10;;;;;;;;;;;;;;;;;;;;
Oct 25, 10;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Sep 24, 11;;;;;;;;;;;;;;;;;;;;
Oct 28, 11;;;;;;;;;;;;;;;;;;;;
Jan 28, 12;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
May 21, 12;;;;;;;;;;;;;;;;;;;;
Jun 1, 12;;;;;;;;;;;;;;;;;;;;
Jul 30, 12;;;;;;;;;;;;;;;;;;;;
Oct 23, 12;;;;;;;;;;;;;;;;;;;;
Jan 6, 13;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Jun 23, 13;;;;;;;;;;;;;;;;;;;;
Oct 9, 13;;;;;;;;;;;;;;;;;;;;
Dec 16, 13;;;;;;;;;;;;;;;;;;;;
Jan 22, 14;;;;;;;;;;;;;;;;;;;;
Apr 4, 14;;;;;;;;;;;;;;;;;;;;
Jul 5, 14;;;;;;;;;;;;;;;;;;;;
Oct 4, 14;;;;;;;;;;;;;;;;;;;;
Jan 21, 15;;;;;;;;;;;;;;;;;;;;
May 13, 15;;;;;;;;;;;;;;;;;;;;
Jun 23, 15;;;;;;;;;;;;;;;;;;;;
Aug 13, 15;;;;;;;;;;;;;;;;;;;;
Oct 9, 15;;;;;;;;;;;;;;;;;;;;
Jan 7, 16;;;;;;;;;;;;;;;;;;;;
