TV FFN;SPN;Dr. Who;Sherlock;Star Trek;Glee;OuaT;Buffy;Merlin;Stargate;Teen Wolf;TWD;X-Files;;Total;;(MCU Quarantine ?);;Agents of SHIELD;Agent Carter;Daredevil;Jessica Jones;WandaVision
Jan 5, 16;112,000;71,000;54,600;26,700;109,000;40,400;49,200;23,600;48,034;19,700;14,400;10,300;;578,934;;;;;;;;
Apr 6, 16;113,000;71,600;55,100;27,000;109,000;42,300;49,200;23,900;48,106;20,400;15,100;10,500;;585,206;;;;;;;;
Jul 8, 16;115,000;72,100;55,700;27,300;109,000;44,000;49,300;24,200;48,309;20,900;15,700;10,600;;592,109;;;;;;;;
Sep 25, 16;116,000;72,600;56,300;27,600;109,000;45,000;49,500;24,300;48,509;21,200;16,100;10,700;;596,809;;;;;;;;
Jan 14, 17;117,000;73,100;57,000;27,900;109,000;46,000;49,600;24,500;48,609;21,200;16,900;10,900;;601,709;;;;;;;;
Apr 3, 17;118,000;73,400;58,100;28,200;109,000;46,700;49,800;24,700;48,714;22,200;17,300;10,900;;607,014;;;;;;;;
Jul 3, 17;119,000;73,800;58,700;28,300;108,000;47,600;49,900;24,900;48,817;22,400;17,600;11,000;;610,017;;;;;;;;
Oct 10, 17;120,000;74,200;59,100;28,800;108,000;48,500;50,000;25,100;48,917;22,800;17,900;11,100;;614,417;;;;;;;;
Jan 10, 18;121,000;74,500;59,400;29,100;108,000;49,400;50,100;25,300;48,911;23,100;18,300;11,100;;618,211;;;;;;;;
Apr 5, 18;122,000;74,700;59,500;29,300;108,000;49,900;50,200;25,400;48,910;23,300;18,600;11,300;;621,110;;;;;;;;
Jul 17, 18;123,000;74,800;59,900;29,400;108,000;50,400;50,200;25,500;49,012;23,500;18,800;11,400;;623,912;;;;;;;;
Sep 24, 18;123,000;75,000;60,000;29,500;108,000;50,700;50,200;25,600;49,012;23,600;18,900;11,400;;624,912;;;;;;;;
Nov 2, 18;123,000;75,100;60,000;29,500;108,000;50,900;50,200;25,700;49,013;23,700;19,000;11,400;;625,513;;;;;;;;
Jan 3, 19;124,000;75,200;60,000;29,700;108,000;51,200;50,200;25,800;49,110;23,700;19,000;11,500;;627,410;;;;;;;;
Apr 5, 19;124,000;75,400;60,200;29,900;108,000;51,400;50,300;25,900;49,210;23,800;19,100;11,600;;628,810;;;;;;;;
Jul 1, 19;125,000;75,500;60,200;30,100;108,000;51,500;50,400;26,000;49,207;23,900;19,200;11,700;;630,707;;;;;;;;
Oct 3, 19;125,000;75,600;60,100;30,200;108,000;51,600;50,400;26,100;49,408;23,900;19,300;11,700;;631,308;;;;;;;;
Jan 1, 20;125,000;75,700;60,100;30,300;108,000;52,000;50,400;26,200;49,508;24,000;19,300;11,800;;632,308;;;;;;;;
Apr 1, 20;125,000;75,900;60,200;30,500;108,000;52,200;50,500;26,300;49,609;24,000;19,400;11,900;;633,509;;;;;;;;
Jul 1, 20;125,000;76,000;60,100;30,900;108,000;52,600;50,600;26,400;49,715;24,100;19,400;11,900;;634,715;;;;;;;;
Oct 1, 20;126,000;76,100;60,100;30,900;108,000;52,700;50,600;26,500;50,019;24,200;19,400;12,000;;636,519;;;;;;;;
Jan 1, 21;126,000;76,200;60,200;31,200;108,000;52,800;50,700;26,600;50,017;24,300;19,500;12,000;;637,517;;;;;;;;
Apr 1, 21;126,000;76,300;60,000;31,200;108,000;53,000;50,800;26,800;50,118;24,400;19,500;12,000;;638,118;;;;;;;;
Jul 1, 21;126,000;76,200;60,000;31,300;108,000;52,900;50,800;26,900;50,017;24,500;19,600;12,000;;638,217;;;;;;;;
Oct 1, 21;126,000;76,200;60,000;31,400;108,000;53,000;50,800;27,000;50,117;24,500;19,700;12,000;;638,717;;;;;;;;
Jan 1, 22;126,000;76,300;59,900;31,600;108,000;53,000;50,900;27,000;50,219;24,500;19,700;12,000;;639,119;;;;;;;;
Mar 31, 22;126,000;76,400;59,900;31,700;108,000;53,100;51,000;27,100;50,219;24,600;19,700;12,000;;639,719;;;;;;;;
Jul 4, 22;126,000;76,400;59,900;31,800;108,000;53,100;51,100;27,200;50,419;24,600;19,700;12,100;;640,319;;;;;;;;
Aug 2, 22;126,000;76,500;59,800;31,800;108,000;53,100;51,100;27,200;50,419;24,700;19,700;12,100;;640,419;;;;;;;;
Sep 21, 22;127,000;76,400;59,800;31,800;108,000;53,200;51,100;27,200;50,419;24,700;19,700;12,100;;641,419;;;;;;;;
Oct 21, 22;126,000;76,300;59,800;31,800;108,000;53,200;51,000;27,200;50,419;24,700;19,700;12,100;;640,219;;;;;;;;
Jan 5, 23;127,000;76,500;59,800;31,700;108,000;53,200;51,100;27,300;50,419;24,700;19,800;12,100;;641,619;;;;;;;;
Mar 6, 23;127,000;76,500;59,800;31,700;108,000;53,300;51,000;27,300;50,421;24,700;19,800;12,100;;641,621;;;;;;;;
Apr 3, 23;120,743;64,225;58,993;28,362;106,355;52,644;42,581;26,839;47,668;24,277;19,988;11,675;;604,350;;;;;;;;
Jun 30, 23;120,809;64,253;58,870;29,722;106,205;52,613;42,578;26,829;47,747;24,255;19,502;11,723;;605,106;;;;8,052;825;1,094;219;75
Oct 1, 23;120,998;64,278;58,853;29,826;106,114;52,674;42,612;26,824;47,723;24,267;19,508;11,747;;605,424;;;;8,043;827;1,101;207;70
Jan 1, 24;121,080;64,301;58,827;29,920;106,097;52,702;42,646;26,830;47,797;24,280;19,522;11,774;;605,776;;;;8,034;842;1,105;218;79
Apr 1, 24;;;;;;;;;;;;;;0;;;;;;;;
Jun 30, 24;121,128;64,404;58,619;31,099;106,041;52,708;42,717;26,819;47,810;24,272;19,530;11,813;;606,960;;;;8,023;831;1,105;208;76
Oct 1, 24;121,185;64,438;58,607;30,906;106,060;52,704;42,758;26,787;47,853;24,317;19,542;11,820;;606,977;;;;8,031;831;1,105;209;77
Jan 1, 25;121,295;64,492;58,549;30,962;106,020;52,700;42,784;26,793;47,873;24,307;19,557;11,858;;607,190;;;;8,031;832;1,109;209;85
Apr 1, 25;121,275;64,380;58,523;31,038;106,003;52,689;42,811;26,784;47,804;24,327;19,566;11,899;;607,099;;;;8,026;833;1,115;206;96
Jul 1, 25;121,119;64,322;58,394;30,997;105,976;52,622;42,780;26,732;47,821;24,340;19,483;11,939;;606,525;;;;8,015;834;1,135;206;96
Oct 3, 25;120,983;64,387;58,346;31,139;105,989;52,711;42,802;26,736;47,920;24,371;19,489;11,944;;606,817;;;;7,989;835;1,133;206;101
Dec 30, 99;;;;;;;;;;;;;;0;;;;;;;;
Dec 30, 99;;;;;;;;;;;;;;0;;;;;;;;
Dec 30, 99;;;;;;;;;;;;;;0;;;;;;;;
Dec 30, 99;;;;;;;;;;;;;;0;;;;;;;;
Dec 30, 99;;;;;;;;;;;;;;0;;;;;;;;
