Standard Approx Date;WBM;Homestuck;WBM;Hamilton;Vocaloid;Wrestling;Web Shows;Les Mis;WTNV;Manhua;Manhwa;Hololive
Jan 1, 23;01/06/23;16,300;;;20,300;43,800;14,300;;187;1,500;2,200;144
Mar 3, 23;03/06/23;16,300;;;20,200;43,800;14,300;;187;1,600;2,300;167
Apr 3, 23;04/03/23;16,080;04/03/23;2,000;20,200;43,800;14,300;;186;1,600;2,300;177
Jun 30, 23;06/30/23;16,059;06/30/23;2,000;;;;;;;;
Oct 1, 23;10/01/23;16,046;10/01/23;1,994;20,200;43,800;14,300;;188;1,700;2,400;219
Jan 1, 24;01/01/24;16,040;01/01/24;1,994;19,927;43,289;13,976;3,372;;;;
Apr 1, 24;;;;;;;;;;;;
Jun 30, 24;;16,009;;1,994;19,912;43,341;13,974;3,372;181;1,908;2,270;256
Oct 1, 24;;;;1,992;19,929;43,355;13,997;3,374;182;1,945;2,283;267
Jan 1, 25;;15,947;;1,992;19,929;43,381;14,030;3,375;184;2,006;2,265;280
Apr 1, 25;;15,925;;1,999;19,931;43,461;14,082;3,373;192;2,052;2,279;289
Jul 1, 25;;15,894;;2,009;19,926;43,445;14,003;3,372;182;2,072;2,285;303
Oct 3, 25;;15,881;;2,006;19,922;43,483;13,999;3,374;183;2,091;2,290;310
Dec 30, 99;;;;;;;;;;;;
Dec 30, 99;;;;;;;;;;;;
Dec 30, 99;;;;;;;;;;;;
Dec 30, 99;;;;;;;;;;;;
Dec 30, 99;;;;;;;;;;;;
Dec 30, 99;;;;;;;;;;;;
Dec 30, 99;;;;;;;;;;;;
Dec 30, 99;;;;;;;;;;;;
