Animanga AO3;Sailor Moon;Inuyasha;CCS;Bleach;Tennis;Naruto;Fruba;FMA;Soul Eater;Fairy Tail;Hetalia;Exorcist;Madoka;RWBY;JJBA;SnK;HQ;BnHA;YoI;SxF;;Totals
;;;;;;;;;;;;;;;;;;;;;;0
Oct 30, 18;4,097;;915;;4,413;34,466;768;13,733;2,995;8,609;29,122;1,589;1,975;;;38,418;48,279;34,116;30,816;;;254,311
Jan 5, 19;4,277;;931;;4,488;36,443;812;14,145;3,070;9,298;29,975;1,654;2,026;;;38,946;49,682;42,072;31,876;;;269,695
Apr 1, 19;4,520;;956;;4,620;39,089;856;14,664;3,136;10,098;30,893;1,730;2,094;;;39,477;50,973;51,569;32,770;;;287,445
Jul 1, 19;4,707;;974;;4,798;42,243;964;15,130;3,238;10,665;32,057;1,815;2,173;;;40,173;52,042;60,710;33,508;;;305,197
Oct 2, 19;4,918;;997;;4,998;45,422;1,137;15,685;3,355;11,258;33,304;1,905;2,263;;;41,126;53,344;70,449;34,214;;;324,375
Jan 1, 20;5,114;;1,029;;5,129;48,531;1,224;16,143;3,483;11,720;34,228;1,949;2,336;;;41,908;55,397;80,512;35,001;;;343,704
Apr 1, 20;5,248;;1,078;;5,474;51,423;1,296;16,600;3,572;12,172;35,295;2,010;2,432;;;42,217;58,335;91,328;35,607;;;364,087
Jul 1, 20;5,487;;1,126;;5,778;55,343;1,462;16,468;3,716;12,915;36,539;2,128;2,399;;;43,076;66,522;107,055;36,176;;;396,190
Oct 1, 20;5,759;;1,205;;6,093;60,258;1,731;17,280;3,827;13,579;37,835;2,291;2,607;;;44,235;78,834;124,683;36,843;;;437,060
Jan 1, 21;6,009;;1,283;;6,262;64,772;2,002;17,974;3,996;14,067;38,883;2,483;2,838;;;45,874;91,959;143,756;37,625;;;479,783
Apr 1, 21;6,358;;1,339;;6,379;69,792;2,189;18,587;4,134;14,511;40,051;2,600;3,022;;;52,225;104,568;161,764;38,094;;;525,613
Jul 1, 21;6,609;;1,394;;6,478;74,524;2,538;19,327;4,257;14,958;41,319;2,700;3,201;;;58,246;113,584;179,370;38,494;;;566,999
Oct 1, 21;6,774;;1,421;;6,581;79,069;2,874;19,819;4,341;15,444;42,555;2,760;3,393;;;62,197;122,470;196,227;38,918;;;604,843
Jan 1, 22;7,036;;1,474;;6,703;83,504;3,114;20,474;4,447;15,947;43,532;2,921;3,570;;;64,788;129,216;211,546;39,386;;;637,658
Apr 1, 22;7,303;;1,523;;6,797;87,877;3,313;20,955;4,586;16,493;44,725;3,022;3,703;;;69,133;134,430;225,032;39,785;;;668,677
Jul 1, 22;7,695;;1,561;;6,927;91,589;3,419;21,543;4,713;17,067;45,730;3,118;3,855;;;72,557;139,520;236,803;39,945;;;696,042
Aug 2, 22;7,825;;1,579;;6,954;93,174;3,446;21,709;4,741;17,230;47,395;3,157;3,906;;;73,435;141,145;240,137;40,045;;;705,878
Sep 20, 22;8,018;;1,615;;7,028;97,209;3,531;22,346;4,816;17,483;47,883;3,247;3,988;;;76,211;143,419;249,674;40,237;;;726,705
Oct 23, 22;8,196;;1,643;;7,082;99,223;3,585;22,680;4,864;17,717;48,363;3,305;4,052;;;77,041;144,979;254,349;40,308;;;737,387
Jan 1, 23;8,245;;1,629;;7,049;102,800;3,600;23,117;4,934;17,844;49,507;3,238;4,025;;;78,921;143,216;264,053;39,098;;;751,276
Mar 3, 23;8,953;;1,741;;7,845;105,684;3,686;23,547;5,026;18,722;50,330;3,493;4,336;;;80,204;153,137;272,588;39,354;;;778,646
Apr 3, 23;9,074;;1,755;;7,892;;3,717;;;18,913;;3,533;4,380;;;;154,346;;39,456;;;243,066
Jun 30, 23;9,427;14,238;1,809;26,286;8,793;111,086;3,861;24,225;5,191;19,332;52,194;3,617;4,547;;59,354;82,795;157,537;288,130;42,029;3,357;;917,808
Oct 1, 23;9,780;14,697;1,858;27,503;8,876;115,778;3,707;24,785;5,315;19,707;53,393;3,726;4,724;38,749;60,649;84,342;160,761;298,693;42,294;3,558;;982,895
Jan 1, 24;10,086;15,136;1,918;28,548;8,958;118,300;3,838;25,335;5,458;20,249;54,582;3,831;4,893;40,061;61,803;86,443;163,978;309,289;42,500;3,937;;1,009,143
Apr 1, 24;10,340;15,524;1,974;29,092;9,066;121,775;3,774;25,799;5,604;20,593;55,516;3,991;5,078;41,083;62,892;88,324;166,622;317,175;42,625;5,351;;1,032,198
Jun 30, 24;10,602;15,934;2,001;29,729;9,220;125,238;3,817;26,166;5,772;21,017;56,659;4,122;5,252;42,117;63,778;89,694;170,913;327,267;42,795;5,605;;1,057,698
Oct 1, 24;11,013;16,336;2,040;30,512;9,351;129,232;3,883;26,570;5,927;21,603;57,898;4,230;5,467;43,179;64,878;91,243;176,682;338,998;43,030;5,995;;1,088,067
Jan 1, 25;11,295;16,834;2,089;31,385;9,465;133,534;3,930;27,001;6,150;22,107;59,032;4,352;5,636;44,266;65,875;92,894;180,897;351,513;43,141;6,330;;1,117,726
Apr 1, 25;11,738;17,141;2,135;32,285;9,587;138,102;3,969;27,469;6,284;22,615;60,462;4,518;5,837;45,295;66,859;94,626;184,531;361,091;43,274;6,628;;1,144,446
Jul 1, 25;11,948;17,496;2,218;32,959;9,655;143,064;3,994;27,988;6,422;23,029;61,928;4,636;6,112;46,300;67,934;96,141;187,794;371,550;43,331;6,893;;1,171,392
Oct 3, 25;12,267;17,906;2,292;33,909;9,739;148,422;4,029;28,532;6,525;23,689;64,245;4,725;6,365;47,235;69,460;98,716;191,347;381,217;43,435;7,174;;1,201,229
Dec 30, 99;;;;;;;;;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;;;;;;;;;0
