WBM Date;Tolkien;GoT;Harry Potter;Warriors;PJO;Twilight;Hunger Games;Phantom of the Opera;Good Omens;MDZS;King’s Avatar;ORV
Jan 1, 23;86,454;73,403;388,524;5,276;38,761;14,800;14,545;4,485;37,255;60,077;14,362;4,823
Mar 3, 23;88,698;77,253;401,505;5,680;40,053;15,144;14,770;4,685;38,000;62,536;14,631;5,425
Apr 3, 23;92,475;78,705;407,167;5,841;40,624;15,341;15,067;4,790;38,232;63,316;15,175;5,684
06/30/23;102,142;84,914;447,168;6,401;43,992;16,700;16,449;;;;;
10/01/23;104,165;88,501;464,622;6,878;46,057;17,246;16,993;;;;;
Jan 1, 24;109,134;91,915;483,057;7,290;48,667;17,881;19,305;;;;;
Apr 1, 24;111,784;94,614;502,708;7,696;52,602;18,388;21,047;;;;;
Jun 30, 24;114,935;97,748;519,113;8,155;56,042;18,986;22,061;;;;;
Oct 1, 24;117,839;103,779;536,820;8,593;59,310;19,579;22,964;;;;;
Jan 1, 25;121,726;107,447;557,366;9,122;62,540;20,212;23,793;6,242;56,185;83,626;18,779;11,658
Apr 1, 25;124,656;110,193;577,474;9,544;65,783;20,900;24,887;6,358;56,497;85,875;19,516;12,352
Jul 1, 25;127,107;112,587;624,534;10,042;69,345;21,657;27,245;6,491;56,933;87,925;20,074;13,219
Oct 3, 25;129,976;115,367;647,831;10,510;72,633;22,289;28,516;6,635;57,703;90,265;21,560;14,228
Jan 1, 26;133,193;117,840;668,893;10,997;75,825;23,099;17,575;6,816;58,675;92,574;23,038;15,138
Dec 30, 99;;;;;;;;;;;;
Dec 30, 99;;;;;;;;;;;;
