Cartoon FFN,MLP,Voltron,VLD,Daria,PPG,Invader Zim,Kim Possible,Teen Titans,Danny Phantom,AtLA,LoK,AtLA / LoK,Total Drama,Gravity Falls,SU,MLB,SVFoE,SPoP
=$'Dates Ref'.M58,"25,300","1,000",,"2,000","7,200","10,700","9,200","38,400","19,200","39,900",=M:M-K:K,"53,100","12,700","5,000","2,100",0,272,
=$'Dates Ref'.M59,"25,800","1,000",,"2,000","7,300","10,700","9,300","38,700","19,300","40,100",=M:M-K:K,"53,600","12,800","5,500","2,800",65,423,
=$'Dates Ref'.M60,"26,400","1,000",,"2,100","7,300","10,700","9,300","38,900","19,600","40,300",=M:M-K:K,"54,000","12,900","6,400","3,300",703,609,
=$'Dates Ref'.M61,"26,900","1,000",0,"2,100","7,400","10,700","9,400","39,200","19,900","40,500",=M:M-K:K,"54,300","13,100","7,400","3,900","2,500",755,
=$'Dates Ref'.M62,"27,400","1,000",59,"2,100","7,600","10,700","9,400","39,500","20,100","40,700",=M:M-K:K,"54,600","13,200","7,900","4,400","4,000",872,
=$'Dates Ref'.M63,"27,700","1,100",480,"2,100","7,600","10,700","9,400","39,700","20,400","40,800",=M:M-K:K,"54,700","13,200","8,400","5,200","5,000",1000,
=$'Dates Ref'.M64,"28,200","1,100",843,"2,200","7,700","10,800","9,500","39,900","20,600","41,000",=M:M-K:K,"55,100","13,300","9,000","5,800","6,400",1300,
=$'Dates Ref'.M65,"28,400","1,100","1,400","2,200","7,800","10,800","9,500","40,100","20,800","41,200",=M:M-K:K,"55,300","13,300","9,200","6,200","7,400",1500,
=$'Dates Ref'.M66,"28,700","1,100","2,000","2,200","7,900","10,800","9,500","40,300","20,900","41,400",=M:M-K:K,"55,600","13,300","9,400","6,600","8,400",1800,
=$'Dates Ref'.M67,"29,100","1,100","2,700","2,200","7,900","10,800","9,600","40,400","21,100","41,600",=M:M-K:K,"55,900","13,400","9,700","6,900","9,400",2000,
=$'Dates Ref'.M68,"29,400","1,100","3,300","2,200","8,000","10,800","9,600","40,600","21,300","41,800",=M:M-K:K,"56,200","13,500","9,900","7,100","10,900",2200,
=$'Dates Ref'.M69,"29,700","1,100","3,900","2,200","8,000","10,800","9,700","40,700","21,500","42,000",=M:M-K:K,"56,500","13,500","10,000","7,300","12,000",2300,
=$'Dates Ref'.M70,"29,900","1,200","4,600","2,200","8,100","10,800","9,700","40,700","21,600","42,200",=M:M-K:K,"56,800","13,600","10,200","7,500","13,200",2500,0
=$'Dates Ref'.M71,"30,100","1,200","5,200","2,200","8,100","10,900","9,800","40,800","21,700","42,400",=M:M-K:K,"57,000","13,600","10,300","7,700","13,800",2500,
=$'Dates Ref'.M72,"30,200",=C71,"5,400",=E71,"8,100",=G71,=H71,=I71,"21,800","42,400",=M:M-K:K,"57,000","13,600","10,400","7,700","14,200",2600,0
=$'Dates Ref'.M73,"30,300",=C72,"5,800",=E72,"8,200",=G72,=H72,=I72,"21,900","42,500",=M:M-K:K,"57,100","13,700","10,500","7,800","14,900",2600,84
=$'Dates Ref'.M74,"30,500",=C73,"6,100",=E73,"8,200",=G73,"9,900","40,900","21,900","42,700",=M:M-K:K,"57,400","13,700","10,600","8,000","15,800",2700,178
=$'Dates Ref'.M75,"30,600",=C74,"6,300",=E74,"8,200",=G74,"9,900","40,900","22,100","42,800",=M:M-K:K,"57,500","13,800","10,600","8,100","16,600",2900,263
=$'Dates Ref'.M76,"30,800",=C75,"6,500","2,200","8,200","11,000","9,900","40,900","22,200","42,900",=M:M-K:K,"57,600","13,900","10,700","8,300","17,500",3000,355
=$'Dates Ref'.M77,"30,900",=C76,"6,600","2,300","8,300","11,000","10,000","41,000","22,300","43,100",=M:M-K:K,"57,900","14,000","10,700","8,500","18,400",3100,467
=$'Dates Ref'.M78,"31,000",=C77,"6,600","2,300","8,300","11,100","10,000","41,000","22,300","43,100",=M:M-K:K,"57,900","14,000","10,800","8,700","19,100",3100,508
=$'Dates Ref'.M79,"31,200",=C78,"6,700",=E78,"8,400",=G78,"10,100","41,100","22,600","43,600",=M:M-K:K,"58,500","14,100","10,900","8,800","19,800",3200,792
=$'Dates Ref'.M80,"31,300",=C79,"6,800",=E79,"8,500",=G79,"10,300",=I79,"22,600","44,200",=M:M-K:K,"59,200","14,100","11,000","8,900","20,300",3200,980
=$'Dates Ref'.M81,"31,400","1,200","6,800","2,300","8,500",=G80,"10,300",=I80,"22,800","44,600",=M:M-K:K,"59,700","14,200","11,000","8,900","20,800",3300,"1,100"
=$'Dates Ref'.M82,"31,500",=C81,"6,900",=E81,=F81,=G81,"10,300","41,200","22,800","45,000",=M:M-K:K,"60,200","14,300","11,000","8,900","21,300",3300,"1,200"
=$'Dates Ref'.M83,"31,600",=C82,"6,900",=E82,=F82,=G82,"10,400",=I82,"23,000","45,200",=M:M-K:K,"60,400","14,400","11,100","8,900","21,900",3300,"1,200"
=$'Dates Ref'.M84,"31,600",=C83,"6,900",=E83,"8,600",=G83,"10,400",=I83,"23,100","45,400",=M:M-K:K,"60,600","14,500","11,000","8,900","22,300",3200,"1,300"
=$'Dates Ref'.M85,"31,700",=C84,=D84,=E84,=F84,=G84,"10,400","41,300","23,200","45,500",=M:M-K:K,"60,800","14,600","11,100",=P84,"22,700",3200,"1,300"
=$'Dates Ref'.M86,"31,700",=C85,=D85,=E85,=F85,=G85,"10,500",=I85,"23,200","45,600",=M:M-K:K,"60,900","14,700",=O85,=P85,"23,000",3300,"1,300"
=$'Dates Ref'.M87,"31,900",=C86,=D86,=E86,=F86,=G86,"10,500",=I86,"23,300","45,600",=M:M-K:K,"61,000","14,700",=O86,=P86,"23,300",=R86,"1,300"
=$'Dates Ref'.M88,=B87,=C87,=D87,=E87,=F87,=G87,"10,600",=I87,"23,300","45,600",=M:M-K:K,"61,000","14,700",=O87,=P87,"23,400",=R87,=S87
=$'Dates Ref'.M89,=B88,=C88,=D88,=E88,=F88,=G88,=H88,=I88,"23,300","45,700",=M:M-K:K,"61,100","14,800",=O88,=P88,"23,600",=R88,=S88
=$'Dates Ref'.M90,=B89,=C89,=D89,=E89,=F89,=G89,=H89,=I89,"23,300","45,700",=M:M-K:K,"61,100","14,800",=O89,"8,800","23,600",=R89,=S89
=$'Dates Ref'.M91,"32,000",=C90,=D90,=E90,=F90,=G90,=H90,=I90,"23,400","45,800",=M:M-K:K,"61,200","14,900",=O90,=P90,"23,900",=R90,"1,400"
=$'Dates Ref'.M92,"32,000",=C91,=D91,=E91,"8,600",=G91,"10,600",=I91,"23,400","45,800",=M:M-K:K,"61,200","14,900",=O91,=P91,"24,100",3300,"1,400"
"Apr 3, 23",=25*1100+22,"1,200",=25*276,"2,300","8,600","11,100","10,600","41,300",=25*834+22,=25*1778+4,"15,400","61,200","14,900","11,000",=25*339+14,=25*957+18,3300,"1,400"
=$'Dates Ref'.M94,=1102*25+7,=25*48+17,=25*276+13,=25*86+22,=25*324+22,=25*425+5,=25*406+2,=1581*25+8,=839*25+2,=25*1779+10,=611*25+1,=K:K+L:L,=25*590+11,=25*411+22,=338*25+24,=25*962+19,=129*25+13,=25*52+7
=$'Dates Ref'.M95,,,,,,,,,,,,=K:K+L:L,,,,,,
=$'Dates Ref'.M96,,,,,,,,,,,,=K:K+L:L,,,,,,
=$'Dates Ref'.M97,,,,,,,,,,,,=K:K+L:L,,,,,,
=$'Dates Ref'.M98,,,,,,,,,,,,=K:K+L:L,,,,,,
=$'Dates Ref'.M99,,,,,,,,,,,,=K:K+L:L,,,,,,
=$'Dates Ref'.M100,,,,,,,,,,,,=K:K+L:L,,,,,,
=$'Dates Ref'.M101,,,,,,,,,,,,=K:K+L:L,,,,,,
